Gene,Biological_Role
IRF9,"interferon regulatory factor 9: This gene encodes a member of the interferon regulatory factor (IRF) family, a group of transcription factors with diverse roles, including virus-mediated activation of interferon, and modulation of cell growth, differentiation, apoptosis, and immune system activity. Members of the IRF family are characterized by a conserved N-terminal DNA-binding domain containing tryptophan (W) repeats. Mutations in this gene result in Immunodeficiency 65. [provided by RefSeq, Jul 2020]"
IRGM,"immunity related GTPase M: This gene encodes a member of the p47 immunity-related GTPase family. The encoded protein may play a role in the innate immune response by regulating autophagy formation in response to intracellular pathogens. Polymorphisms that affect the normal expression of this gene are associated with a susceptibility to Crohn's disease and tuberculosis. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Oct 2016]"
IRS1,"insulin receptor substrate 1: This gene encodes a protein which is phosphorylated by insulin receptor tyrosine kinase. Mutations in this gene are associated with type II diabetes and susceptibility to insulin resistance. [provided by RefSeq, Nov 2009]"
IRS2,"insulin receptor substrate 2: This gene encodes the insulin receptor substrate 2, a cytoplasmic signaling molecule that mediates effects of insulin, insulin-like growth factor 1, and other cytokines by acting as a molecular adaptor between diverse receptor tyrosine kinases and downstream effectors. The product of this gene is phosphorylated by the insulin receptor tyrosine kinase upon receptor stimulation, as well as by an interleukin 4 receptor-associated kinase in response to IL4 treatment. [provided by RefSeq, Jul 2008]"
IRX1,"iroquois homeobox 1: This gene encodes a member of the Iroquois homeobox protein family. Homeobox genes in this family are involved in pattern formation in the embryo. The gene product has been identified as a tumor suppressor in gastric (PMID: 21602894, 20440264) and head and neck cancers (PMID: 18559491). A pseudogene of this gene is located on chromosome 13. [provided by RefSeq, Dec 2011]"
IRX5,"iroquois homeobox 5: This gene encodes a member of the iroquois homeobox gene family, which are involved in several embryonic developmental processes. Knockout mice lacking this gene show that it is required for retinal cone bipolar cell differentiation, and that it negatively regulates potassium channel gene expression in the heart to ensure coordinated cardiac repolarization. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2011]"
ISG15,"ISG15 ubiquitin like modifier: The protein encoded by this gene is a ubiquitin-like protein that is conjugated to intracellular target proteins upon activation by interferon-alpha and interferon-beta. Several functions have been ascribed to the encoded protein, including chemotactic activity towards neutrophils, direction of ligated target proteins to intermediate filaments, cell-to-cell signaling, and antiviral activity during viral infections. While conjugates of this protein have been found to be noncovalently attached to intermediate filaments, this protein is sometimes secreted. [provided by RefSeq, Dec 2012]"
ISG20,"interferon stimulated exonuclease gene 20: Enables 3'-5' exonuclease activity and RNA binding activity. Involved in defense response to virus; negative regulation of viral genome replication; and nucleobase-containing compound catabolic process. Located in cytoplasm and nuclear lumen. [provided by Alliance of Genome Resources, Apr 2022]"
ISL1,"ISL LIM homeobox 1: This gene encodes a member of the LIM/homeodomain family of transcription factors. The encoded protein binds to the enhancer region of the insulin gene, among others, and may play an important role in regulating insulin gene expression. The encoded protein is central to the development of pancreatic cell lineages and may also be required for motor neuron generation. Mutations in this gene have been associated with maturity-onset diabetes of the young. [provided by RefSeq, Jul 2008]"
ISOC1,"isochorismatase domain containing 1: Predicted to be located in peroxisome. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
ISYNA1,"inositol-3-phosphate synthase 1: This gene encodes an inositol-3-phosphate synthase enzyme. The encoded protein plays a critical role in the myo-inositol biosynthesis pathway by catalyzing the rate-limiting conversion of glucose 6-phosphate to myoinositol 1-phosphate. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene, and a pseudogene of this gene is located on the short arm of chromosome 4. [provided by RefSeq, Nov 2011]"
ITCH,"itchy E3 ubiquitin protein ligase: This gene encodes a member of the Nedd4 family of HECT domain E3 ubiquitin ligases. HECT domain E3 ubiquitin ligases transfer ubiquitin from E2 ubiquitin-conjugating enzymes to protein substrates, thus targeting specific proteins for lysosomal degradation. The encoded protein plays a role in multiple cellular processes including erythroid and lymphoid cell differentiation and the regulation of immune responses. Mutations in this gene are a cause of syndromic multisystem autoimmune disease. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Mar 2012]"
ITGA1,"integrin subunit alpha 1: This gene encodes the alpha 1 subunit of integrin receptors. This protein heterodimerizes with the beta 1 subunit to form a cell-surface receptor for collagen and laminin. The heterodimeric receptor is involved in cell-cell adhesion and may play a role in inflammation and fibrosis. The alpha 1 subunit contains an inserted (I) von Willebrand factor type I domain which is thought to be involved in collagen binding. [provided by RefSeq, Jul 2008]"
ITGA2,"integrin subunit alpha 2: This gene encodes the alpha subunit of a transmembrane receptor for collagens and related proteins. The encoded protein forms a heterodimer with a beta subunit and mediates the adhesion of platelets and other cell types to the extracellular matrix. Loss of the encoded protein is associated with bleeding disorder platelet-type 9. Antibodies against this protein are found in several immune disorders, including neonatal alloimmune thrombocytopenia. This gene is located adjacent to a related alpha subunit gene. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2012]"
ITGA2B,"integrin subunit alpha 2b: This gene encodes a member of the integrin alpha chain family of proteins. The encoded preproprotein is proteolytically processed to generate light and heavy chains that associate through disulfide linkages to form a subunit of the alpha-IIb/beta-3 integrin cell adhesion receptor. This receptor plays a crucial role in the blood coagulation system, by mediating platelet aggregation. Mutations in this gene are associated with platelet-type bleeding disorders, which are characterized by a failure of platelet aggregation, including Glanzmann thrombasthenia. [provided by RefSeq, Jan 2016]"
ITGA3,"integrin subunit alpha 3: The gene encodes a member of the integrin alpha chain family of proteins. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain that function as cell surface adhesion molecules. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 3 subunit. This subunit joins with a beta 1 subunit to form an integrin that interacts with extracellular matrix proteins including members of the laminin family. Expression of this gene may be correlated with breast cancer metastasis. [provided by RefSeq, Oct 2015]"
ITGA4,"integrin subunit alpha 4: The gene encodes a member of the integrin alpha chain family of proteins. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 4 subunit. This subunit associates with a beta 1 or beta 7 subunit to form an integrin that may play a role in cell motility and migration. This integrin is a therapeutic target for the treatment of multiple sclerosis, Crohn's disease and inflammatory bowel disease. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2015]"
ITGA5,"integrin subunit alpha 5: The product of this gene belongs to the integrin alpha chain family. Integrins are heterodimeric integral membrane proteins composed of an alpha subunit and a beta subunit that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 5 subunit. This subunit associates with the beta 1 subunit to form a fibronectin receptor. This integrin may promote tumor invasion, and higher expression of this gene may be correlated with shorter survival time in lung cancer patients. Note that the integrin alpha 5 and integrin alpha V subunits are encoded by distinct genes. [provided by RefSeq, Oct 2015]"
ITGA6,"integrin subunit alpha 6: The gene encodes a member of the integrin alpha chain family of proteins. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 6 subunit. This subunit may associate with a beta 1 or beta 4 subunit to form an integrin that interacts with extracellular matrix proteins including members of the laminin family. The alpha 6 beta 4 integrin may promote tumorigenesis, while the alpha 6 beta 1 integrin may negatively regulate erbB2/HER2 signaling. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2015]"
ITGA7,"integrin subunit alpha 7: The protein encoded by this gene belongs to the integrin alpha chain family. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain. They mediate a wide spectrum of cell-cell and cell-matrix interactions, and thus play a role in cell migration, morphologic development, differentiation, and metastasis. This protein functions as a receptor for the basement membrane protein laminin-1. It is mainly expressed in skeletal and cardiac muscles and may be involved in differentiation and migration processes during myogenesis. Defects in this gene are associated with congenital myopathy. Alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Feb 2009]"
ITGA8,"integrin subunit alpha 8: Integrins are heterodimeric transmembrane receptor proteins that mediate numerous cellular processes including cell adhesion, cytoskeletal rearrangement, and activation of cell signaling pathways. Integrins are composed of alpha and beta subunits. This gene encodes the alpha 8 subunit of the heterodimeric integrin alpha8beta1 protein. The encoded protein is a single-pass type 1 membrane protein that contains multiple FG-GAP repeats. This repeat is predicted to fold into a beta propeller structure. This gene regulates the recruitment of mesenchymal cells into epithelial structures, mediates cell-cell interactions, and regulates neurite outgrowth of sensory and motor neurons. The integrin alpha8beta1 protein thus plays an important role in wound-healing and organogenesis. Mutations in this gene have been associated with renal hypodysplasia/aplasia-1 (RHDA1) and with several animal models of chronic kidney disease. Alternate splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Apr 2014]"
ITGA9,"integrin subunit alpha 9: This gene encodes an alpha integrin. Integrins are heterodimeric integral membrane glycoproteins composed of an alpha chain and a beta chain that mediate cell-cell and cell-matrix adhesion. The protein encoded by this gene, when bound to the beta 1 chain, forms an integrin that is a receptor for VCAM1, cytotactin and osteopontin. Expression of this gene has been found to be upregulated in small cell lung cancers. [provided by RefSeq, Jul 2008]"
ITGA9-AS1,ITGA9 antisense RNA 1
ITGAL,"integrin subunit alpha L: ITGAL encodes the integrin alpha L chain. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain. This I-domain containing alpha integrin combines with the beta 2 chain (ITGB2) to form the integrin lymphocyte function-associated antigen-1 (LFA-1), which is expressed on all leukocytes. LFA-1 plays a central role in leukocyte intercellular adhesion through interactions with its ligands, ICAMs 1-3 (intercellular adhesion molecules 1 through 3), and also functions in lymphocyte costimulatory signaling. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
ITGAM,"integrin subunit alpha M: This gene encodes the integrin alpha M chain. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain. This I-domain containing alpha integrin combines with the beta 2 chain (ITGB2) to form a leukocyte-specific integrin referred to as macrophage receptor 1 ('Mac-1'), or inactivated-C3b (iC3b) receptor 3 ('CR3'). The alpha M beta 2 integrin is important in the adherence of neutrophils and monocytes to stimulated endothelium, and also in the phagocytosis of complement coated particles. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009]"
ITGAV,"integrin subunit alpha V: The product of this gene belongs to the integrin alpha chain family. Integrins are heterodimeric integral membrane proteins composed of an alpha subunit and a beta subunit that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha V subunit. This subunit associates with beta 1, beta 3, beta 5, beta 6 and beta 8 subunits. The heterodimer consisting of alpha V and beta 3 subunits is also known as the vitronectin receptor. This integrin may regulate angiogenesis and cancer progression. Alternative splicing results in multiple transcript variants. Note that the integrin alpha 5 and integrin alpha V subunits are encoded by distinct genes. [provided by RefSeq, Oct 2015]"
ITGB1,"integrin subunit beta 1: Integrins are heterodimeric proteins made up of alpha and beta subunits. At least 18 alpha and 8 beta subunits have been described in mammals. Integrin family members are membrane receptors involved in cell adhesion and recognition in a variety of processes including embryogenesis, hemostasis, tissue repair, immune response and metastatic diffusion of tumor cells. This gene encodes a beta subunit. Multiple alternatively spliced transcript variants which encode different protein isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
ITGB1BP1,"integrin subunit beta 1 binding protein 1: The cytoplasmic domains of integrins are essential for cell adhesion. The protein encoded by this gene binds to the beta1 integrin cytoplasmic domain. The interaction between this protein and beta1 integrin is highly specific. Two isoforms of this protein are derived from alternatively spliced transcripts. The shorter form of this protein does not interact with the beta1 integrin cytoplasmic domain. The longer form is a phosphoprotein and the extent of its phosphorylation is regulated by the cell-matrix interaction, suggesting an important role of this protein during integrin-dependent cell adhesion. Several transcript variants, some protein-coding and some non-protein coding, have been found for this gene. [provided by RefSeq, Jan 2016]"
ITGB2,"integrin subunit beta 2: This gene encodes an integrin beta chain, which combines with multiple different alpha chains to form different integrin heterodimers. Integrins are integral cell-surface proteins that participate in cell adhesion as well as cell-surface mediated signalling. The encoded protein plays an important role in immune response and defects in this gene cause leukocyte adhesion deficiency. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]"
ITGB2-AS1,ITGB2 antisense RNA 1
ITGB3,"integrin subunit beta 3: The ITGB3 protein product is the integrin beta chain beta 3. Integrins are integral cell-surface proteins composed of an alpha chain and a beta chain. A given chain may combine with multiple partners resulting in different integrins. Integrin beta 3 is found along with the alpha IIb chain in platelets. Integrins are known to participate in cell adhesion as well as cell-surface mediated signalling. [provided by RefSeq, Jul 2008]"
ITGB3BP,"integrin subunit beta 3 binding protein: This gene encodes a transcriptional coregulator that binds to and enhances the activity of members of the nuclear receptor families, thyroid hormone receptors and retinoid X receptors. This protein also acts as a corepressor of NF-kappaB-dependent signaling. This protein induces apoptosis in breast cancer cells through a caspase 2-mediated signaling pathway. This protein is also a component of the centromere-specific histone H3 variant nucleosome associated complex (CENP-NAC) and may be involved in mitotic progression by recruiting the histone H3 variant CENP-A to the centromere. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Sep 2011]"
ITGB4,"integrin subunit beta 4: Integrins are heterodimers comprised of alpha and beta subunits, that are noncovalently associated transmembrane glycoprotein receptors. Different combinations of alpha and beta polypeptides form complexes that vary in their ligand-binding specificities. Integrins mediate cell-matrix or cell-cell adhesion, and transduced signals that regulate gene expression and cell growth. This gene encodes the integrin beta 4 subunit, a receptor for the laminins. This subunit tends to associate with alpha 6 subunit and is likely to play a pivotal role in the biology of invasive carcinoma. Mutations in this gene are associated with epidermolysis bullosa with pyloric atresia. Multiple alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
ITGB5,"integrin subunit beta 5: This gene encodes a beta subunit of integrin, which can combine with different alpha chains to form a variety of integrin heterodimers. Integrins are integral cell-surface receptors that participate in cell adhesion as well as cell-surface mediated signaling. The alphav beta5 integrin is involved in adhesion to vitronectin. [provided by RefSeq, Aug 2017]"
ITGB6,"integrin subunit beta 6: This gene encodes a protein that is a member of the integrin superfamily. Members of this family are adhesion receptors that function in signaling from the extracellular matrix to the cell. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain. The encoded protein forms a dimer with an alpha v chain and this heterodimer can bind to ligands like fibronectin and transforming growth factor beta 1. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Sep 2013]"
ITGB8,"integrin subunit beta 8: This gene is a member of the integrin beta chain family and encodes a single-pass type I membrane protein with a VWFA domain and four cysteine-rich repeats. This protein noncovalently binds to an alpha subunit to form a heterodimeric integrin complex. In general, integrin complexes mediate cell-cell and cell-extracellular matrix interactions and this complex plays a role in human airway epithelial proliferation. Alternatively spliced variants which encode different protein isoforms have been described; however, not all variants have been fully characterized. [provided by RefSeq, Jul 2008]"
ITGBL1,"integrin subunit beta like 1: This gene encodes a beta integrin-related protein that is a member of the EGF-like protein family. The encoded protein contains integrin-like cysteine-rich repeats. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2012]"
ITK,"IL2 inducible T cell kinase: This gene encodes an intracellular tyrosine kinase expressed in T-cells. The protein contains both SH2 and SH3 domains which are often found in intracellular kinases. It is thought to play a role in T-cell proliferation and differentiation. [provided by RefSeq, Jul 2008]"
ITLN1,"intelectin 1: Enables calcium ion binding activity; identical protein binding activity; and oligosaccharide binding activity. Involved in positive regulation of glucose import; positive regulation of protein phosphorylation; and protein homotrimerization. Located in extracellular exosome. Part of receptor complex. [provided by Alliance of Genome Resources, Apr 2022]"
ITM2A,"integral membrane protein 2A: This gene encodes a type II membrane protein that belongs to the ITM2 family. Studies in mouse suggest that it may be involved in osteo- and chondrogenic differentiation. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2010]"
ITPA,"inosine triphosphatase: This gene encodes an inosine triphosphate pyrophosphohydrolase. The encoded protein hydrolyzes inosine triphosphate and deoxyinosine triphosphate to the monophosphate nucleotide and diphosphate. This protein, which is a member of the HAM1 NTPase protein family, is found in the cytoplasm and acts as a homodimer. Defects in the encoded protein can result in inosine triphosphate pyrophosphorylase deficiency which causes an accumulation of ITP in red blood cells. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Jun 2012]"
ITPKB,"inositol-trisphosphate 3-kinase B: The protein encoded by this protein regulates inositol phosphate metabolism by phosphorylation of second messenger inositol 1,4,5-trisphosphate to Ins(1,3,4,5)P4. The activity of this encoded protein is responsible for regulating the levels of a large number of inositol polyphosphates that are important in cellular signaling. Both calcium/calmodulin and protein phosphorylation mechanisms control its activity. [provided by RefSeq, Jul 2008]"
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1: This gene encodes an intracellular receptor for inositol 1,4,5-trisphosphate. Upon stimulation by inositol 1,4,5-trisphosphate, this receptor mediates calcium release from the endoplasmic reticulum. Mutations in this gene cause spinocerebellar ataxia type 15, a disease associated with an heterogeneous group of cerebellar disorders. Multiple transcript variants have been identified for this gene. [provided by RefSeq, Nov 2009]"
ITPR2,"inositol 1,4,5-trisphosphate receptor type 2: The protein encoded by this gene belongs to the inositol 1,4,5-triphosphate receptor family, whose members are second messenger intracellular calcium release channels. These proteins mediate a rise in cytoplasmic calcium in response to receptor activated production of inositol triphosphate. Inositol triphosphate receptor-mediated signaling is involved in many processes including cell migration, cell division, smooth muscle contraction, and neuronal signaling. This protein is a type 2 receptor that consists of a cytoplasmic amino-terminus that binds inositol triphosphate, six membrane-spanning helices that contribute to the ion pore, and a short cytoplasmic carboxy-terminus. A mutation in this gene has been associated with anhidrosis, suggesting that intracellular calcium release mediated by this protein is required for eccrine sweat production. [provided by RefSeq, Apr 2015]"
ITPR3,"inositol 1,4,5-trisphosphate receptor type 3: This gene encodes a receptor for inositol 1,4,5-trisphosphate, a second messenger that mediates the release of intracellular calcium. The receptor contains a calcium channel at the C-terminus and the ligand-binding site at the N-terminus. Knockout studies in mice suggest that type 2 and type 3 inositol 1,4,5-trisphosphate receptors play a key role in exocrine secretion underlying energy metabolism and growth. [provided by RefSeq, Aug 2010]"
ITPRID2,"ITPR interacting domain containing 2: Enables actin filament binding activity. Located in cytosol; nucleoplasm; and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
ITPRIP,"inositol 1,4,5-trisphosphate receptor interacting protein: This gene encodes a membrane-associated protein that binds the inositol 1,4,5-trisphosphate receptor (ITPR). The encoded protein enhances the sensitivity of ITPR to intracellular calcium signaling. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2012]"
ITSN1,"intersectin 1: The protein encoded by this gene is a cytoplasmic membrane-associated protein that indirectly coordinates endocytic membrane traffic with the actin assembly machinery. In addition, the encoded protein may regulate the formation of clathrin-coated vesicles and could be involved in synaptic vesicle recycling. This protein has been shown to interact with dynamin, CDC42, SNAP23, SNAP25, SPIN90, EPS15, EPN1, EPN2, and STN2. Multiple transcript variants encoding different isoforms have been found for this gene, but the full-length nature of only two of them have been characterized so far. [provided by RefSeq, Jul 2008]"
JADE1,"jade family PHD finger 1: Enables transcription coactivator activity. Involved in histone acetylation and negative regulation of canonical Wnt signaling pathway. Acts upstream of or within negative regulation of G1/S transition of mitotic cell cycle. Located in several cellular components, including ciliary basal body; cytosol; and nuclear speck. Part of histone acetyltransferase complex. [provided by Alliance of Genome Resources, Apr 2022]"
JAG1,"jagged canonical Notch ligand 1: The jagged 1 protein encoded by JAG1 is the human homolog of the Drosophilia jagged protein. Human jagged 1 is the ligand for the receptor notch 1, the latter is involved in signaling processes. Mutations that alter the jagged 1 protein cause Alagille syndrome. Jagged 1 signalling through notch 1 has also been shown to play a role in hematopoiesis. [provided by RefSeq, Nov 2019]"
JAG2,"jagged canonical Notch ligand 2: The Notch signaling pathway is an intercellular signaling mechanism that is essential for proper embryonic development. Members of the Notch gene family encode transmembrane receptors that are critical for various cell fate decisions. The protein encoded by this gene is one of several ligands that activate Notch and related receptors. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
JAK1,"Janus kinase 1: This gene encodes a membrane protein that is a member of a class of protein-tyrosine kinases (PTK) characterized by the presence of a second phosphotransferase-related domain immediately N-terminal to the PTK domain. The encoded kinase phosphorylates STAT proteins (signal transducers and activators of transcription) and plays a key role in interferon-alpha/beta, interferon-gamma, and cytokine signal transduction. This gene plays a crucial role in effecting the expression of genes that mediate inflammation, epithelial remodeling, and metastatic cancer progression. This gene is a key component of the interleukin-6 (IL-6)/JAK1/STAT3 immune and inflammation response and is a therapeutic target for alleviating cytokine storms. The kinase activity of this gene is directly inhibited by the suppressor of cytokine signalling 1 (SOCS1) protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2020]"
JAK2,"Janus kinase 2: This gene encodes a non-receptor tyrosine kinase that plays a central role in cytokine and growth factor signalling. The primary isoform of this protein has an N-terminal FERM domain that is required for erythropoietin receptor association, an SH2 domain that binds STAT transcription factors, a pseudokinase domain and a C-terminal tyrosine kinase domain. Cytokine binding induces autophosphorylation and activation of this kinase. This kinase then recruits and phosphorylates signal transducer and activator of transcription (STAT) proteins. Growth factors like TGF-beta 1 also induce phosphorylation and activation of this kinase and translocation of downstream STAT proteins to the nucleus where they influence gene transcription. Mutations in this gene are associated with numerous inflammatory diseases and malignancies. This gene is a downstream target of the pleiotropic cytokine IL6 that is produced by B cells, T cells, dendritic cells and macrophages to produce an immune response or inflammation. Disregulation of the IL6/JAK2/STAT3 signalling pathways produces increased cellular proliferation and myeloproliferative neoplasms of hematopoietic stem cells. A nonsynonymous mutation in the pseudokinase domain of this gene disrupts the domains inhibitory effect and results in constitutive tyrosine phosphorylation activity and hypersensitivity to cytokine signalling. This gene and the IL6/JAK2/STAT3 signalling pathway is a therapeutic target for the treatment of excessive inflammatory responses to viral infections. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2020]"
JAK3,"Janus kinase 3: The protein encoded by this gene is a member of the Janus kinase (JAK) family of tyrosine kinases involved in cytokine receptor-mediated intracellular signal transduction. It is predominantly expressed in immune cells and transduces a signal in response to its activation via tyrosine phosphorylation by interleukin receptors. Mutations in this gene are associated with autosomal SCID (severe combined immunodeficiency disease). [provided by RefSeq, Jul 2008]"
JAM3,"junctional adhesion molecule 3: Tight junctions represent one mode of cell-to-cell adhesion in epithelial or endothelial cell sheets, forming continuous seals around cells and serving as a physical barrier to prevent solutes and water from passing freely through the paracellular space. The protein encoded by this immunoglobulin superfamily gene member is localized in the tight junctions between high endothelial cells. Unlike other proteins in this family, the this protein is unable to adhere to leukocyte cell lines and only forms weak homotypic interactions. The encoded protein is a member of the junctional adhesion molecule protein family and acts as a receptor for another member of this family. A mutation in an intron of this gene is associated with hemorrhagic destruction of the brain, subependymal calcification, and congenital cataracts. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Apr 2011]"
JMJD6,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase: This gene encodes a nuclear protein with a JmjC domain. JmjC domain-containing proteins are predicted to function as protein hydroxylases or histone demethylases. This protein was first identified as a putative phosphatidylserine receptor involved in phagocytosis of apoptotic cells; however, subsequent studies have indicated that it does not directly function in the clearance of apoptotic cells, and questioned whether it is a true phosphatidylserine receptor. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
JMY,"junction mediating and regulatory protein, p53 cofactor: Predicted to enable Arp2/3 complex binding activity and transcription coactivator activity. Predicted to be involved in several processes, including actin nucleation; intrinsic apoptotic signaling pathway by p53 class mediator; and regulation of transcription, DNA-templated. Located in cell leading edge. [provided by Alliance of Genome Resources, Apr 2022]"
JPH3,"junctophilin 3: Junctional complexes between the plasma membrane and endoplasmic/sarcoplasmic reticulum are a common feature of all excitable cell types and mediate cross talk between cell surface and intracellular ion channels. The protein encoded by this gene is a component of junctional complexes and is composed of a C-terminal hydrophobic segment spanning the endoplasmic/sarcoplasmic reticulum membrane and a remaining cytoplasmic domain that shows specific affinity for the plasma membrane. CAG/CTG repeat expansion from normally 6-28 repeats to 40-59 repeats in the 3' UTR of this gene have been associated with Huntington disease-like 2 (HDL2). This gene is a member of the junctophilin gene family. Alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Jul 2016]"
JPX,"JPX transcript, XIST activator: JPX is a nonprotein-coding RNA transcribed from a gene within the X-inactivation center (XIC; MIM 314670) that appears to participate in X chromosome inactivation (Tian et al., 2010 [PubMed 21029862]).[supplied by OMIM, Feb 2011]"
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit: This gene is the putative transforming gene of avian sarcoma virus 17. It encodes a protein which is highly similar to the viral protein, and which interacts directly with specific target DNA sequences to regulate gene expression. This gene is intronless and is mapped to 1p32-p31, a chromosomal region involved in both translocations and deletions in human malignancies. [provided by RefSeq, Jul 2008]"
JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit: Enables sequence-specific double-stranded DNA binding activity. Involved in positive regulation of transcription by RNA polymerase II. Located in nucleoplasm. Part of transcription factor AP-1 complex. Biomarker of Hodgkin's lymphoma and anaplastic large cell lymphoma. [provided by Alliance of Genome Resources, Apr 2022]"
JUND,"JunD proto-oncogene, AP-1 transcription factor subunit: The protein encoded by this intronless gene is a member of the JUN family, and a functional component of the AP1 transcription factor complex. This protein has been proposed to protect cells from p53-dependent senescence and apoptosis. Alternative translation initiation site usage results in the production of different isoforms (PMID:12105216). [provided by RefSeq, Nov 2013]"
JUP,"junction plakoglobin: This gene encodes a major cytoplasmic protein which is the only known constituent common to submembranous plaques of both desmosomes and intermediate junctions. This protein forms distinct complexes with cadherins and desmosomal cadherins and is a member of the catenin family since it contains a distinct repeating amino acid motif called the armadillo repeat. Mutation in this gene has been associated with Naxos disease. Alternative splicing occurs in this gene; however, not all transcripts have been fully described. [provided by RefSeq, Jul 2008]"
KANK1,"KN motif and ankyrin repeat domains 1: The protein encoded by this gene belongs to the Kank family of proteins, which contain multiple ankyrin repeat domains. This family member functions in cytoskeleton formation by regulating actin polymerization. This gene is a candidate tumor suppressor for renal cell carcinoma. Mutations in this gene cause cerebral palsy spastic quadriplegic type 2, a central nervous system development disorder. A t(5;9) translocation results in fusion of the platelet-derived growth factor receptor beta gene (PDGFRB) on chromosome 5 with this gene in a myeloproliferative neoplasm featuring severe thrombocythemia. Alternative splicing of this gene results in multiple transcript variants. A related pseudogene has been identified on chromosome 20. [provided by RefSeq, Dec 2014]"
KARS1,"lysyl-tRNA synthetase 1: Aminoacyl-tRNA synthetases are a class of enzymes that charge tRNAs with their cognate amino acids. Lysyl-tRNA synthetase is a homodimer localized to the cytoplasm which belongs to the class II family of tRNA synthetases. It has been shown to be a target of autoantibodies in the human autoimmune diseases, polymyositis or dermatomyositis. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
KAT2A,"lysine acetyltransferase 2A: KAT2A, or GCN5, is a histone acetyltransferase (HAT) that functions primarily as a transcriptional activator. It also functions as a repressor of NF-kappa-B (see MIM 164011) by promoting ubiquitination of the NF-kappa-B subunit RELA (MIM 164014) in a HAT-independent manner (Mao et al., 2009 [PubMed 19339690]).[supplied by OMIM, Sep 2009]"
KAT2B,"lysine acetyltransferase 2B: CBP and p300 are large nuclear proteins that bind to many sequence-specific factors involved in cell growth and/or differentiation, including c-jun and the adenoviral oncoprotein E1A. The protein encoded by this gene associates with p300/CBP. It has in vitro and in vivo binding activity with CBP and p300, and competes with E1A for binding sites in p300/CBP. It has histone acetyl transferase activity with core histones and nucleosome core particles, indicating that this protein plays a direct role in transcriptional regulation. [provided by RefSeq, Jul 2008]"
